Sentimen,Comment
1,senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang…
1,"Congrats ka @isyanasarasvati, terus berkarya, makin sukses… dan terus mnjd inpirasi kita semua…"
1,"Masyaallah mamany cantik anakny ganteng, perfect"
1,Setuju g sih? Si dia tetep cntik bgt meski g pke make up… lah aku g pke make up pucet bgt kyk g makan setahunn
1,Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..
0,EH KEK ADA PENAMPAKAN LONTE
1,"Uda pinter, cantik gak kebanyakan tingkah. Perfect"
1,MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…
1,CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss
1,sukses selalu yah ka @rosameldianti_ semangat
0,"mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan"
1,Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi
0,"Buat kalian para pens lonte jgn tkut listi Miskin krna dipecat, krna dia bsa kaya lgi, dgn cara ya nglonte"
0,Hiiihhh jiik lihat nih orang… auranya buruk bgt gak ada manis manisnya
0,erikontolim manusia babi anak lonte
0,Gtu aj dh kek anjg lo kang
0,"Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat"
1,G bole melet dosaa rik
1,Itu wajah nagita kya masih umur 20an
0,"Padahal bulug gini ya mukanya.. ehh,, maaf.."
0,"Sekarang bukan muka aja yang didempul, tapi ketiak juga"
1,Astaga ngehujat sampe postingan paling bawah
1,"erick yang kek gini yang gua kangenin, keep it up bruuh"
0,Dikasih bidadari malah minta lonte
1,Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga
0,Kok lbih lucu anjingnya ya ktimbang orangnya
1,"Semua wanita cantik, jangan suka merasa lebih ah"
0,Ketiaknya hitam dikasih bedak jadi nya abu monyet
0,"Yang merasa peliharaannya lepas, tolong diangkut"
0,Ngapa lidah Lo stroke amin deh kalau gtu
0,Idihhhhh pantesan aja foto nya keluarin lidah kyk gtu. Trnyata tukang jilat…
0,Setan emg melet2 teross jijik asuuu
0,Dikasih bidadari malah milih sampah
1,Gapaham lagi cakeup nya natural Masyaallah
1,"Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang"
1,Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett
0,Open BO ga bang si listy? Kebetulan ada om-om yg nyari cwe yg udah pengalaman!!!!
0,Itu ditengah manusia apa monyet kok kulitnya bercorak batik
0,muka lu sensual tapi norak kenapa dah
0,Karir turun jadi autis kasian hahah
0,Kasian yah sdh stress banyak masalah
0,"Anjing sekarang hebat ya, bisa pake kacamata"
1,Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian
0,TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR
1,Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur
0,Mukanya kuning banget kaya kunyit
0,Kasian masih muda udah stresss
1,Raisa mah tipe cantik tapi sopan santun pakaiannya
0,"Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin"
1,Aamiin. Doa baik juga untuk Meldi
1,"Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa"
0,Fotolu pede anjrit muka lu tu anjrit
1,"seru bgt gemoy, tim berkebun plus tim alam bgt niiii"
1,Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa
1,Keren banget!!! walaupun sebentar tapi mantap abis! Ditunggu karya selanjutnya ya kak! Stay safe and healthy isyana ku
0,Muka kek slangkangan biawak aje bnyk blagu lu
1,Cuman rumus diet ini yg ga bisa dipecahka ya bang?
1,Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras
0,Ih ko melet2 si kaya hewan aja wkwkwkwk
1,Raisa sekarang ngak monoton…. Jadi suka deh…. Sering2 kek gini….
0,"Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya.."
0,"cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?"
1,mba isyana foto gelap2an gini aja aesthetic bgt ya
0,Dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak
0,BUNUH DIRI LAH SONO GOBLOX
0,Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget
0,"Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu"
1,Kenapa ada orang baik ? Karna ada orang jahat
1,@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong
0,Si gaga kok kek anjing
1,Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika
0,Yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah….oprasi dulu sono..biar gantengan dikit.. Dan kalo jln ke mall gk di kenal orng.
0,iri kok sama babi hahah najis
1,Perut makin maju tpi semangat jangan tak maju
0,Anjing gk pantes sama bidadari.
0,Jadi gila kau rupanya karna gak laku lagi di YouTube
1,"Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin"
1,Disini pada kenapa dah? Aku gapaham tolong
0,"Rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik, sayang nya lu ngecewain org lain gimana mo masuk surga"
1,Semoga lancar terus usahanya mel
1,Inimah bukan main alat musik lagi. Olahraga jari dan kaki ini mah
0,"Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener"
1,berdiri di kaki sendiri lebih baik
0,Muka lu kaya tai wkwkwk
0,"lu lebih gak sopan, mukak lu kayak babi!"
1,Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya
0,"Alasan setan ama setan, KARNA KALO SETAN SAMA BIDADARI, SAYAPNYA RONTOK, DICEKER, DIGIGIT, DIJAMBAK2"
1,Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah
0,"Sebelum aku Unfoll, aku mau bilang NAJISSSS"
1,ya Allah kenapa begitu sempurna sih ciptaanmu yg satu in
0,@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2
1,Cuma di postingan ini ya bund netizen sedikit yang menghujat
0,"atas bawah hitam putih, kek kopi luwak"
0,ganteng kaga lu begitu malah keliatan kaya daki kontol
0,SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA
0,dah jelek semangattt pulak WKWK
1,Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel
0,Gak ada cantiknya. Gila yang ada
0,Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya
1,Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik
1,"Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja"
0,"Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item"
1,Yang ngatain keknya idupnya gapernag bikin kesalahan
0,"@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang"
0,Itu tangan apa paha haha….
1,Paket lengkap deh.. udh cantik pintar lagi
0,"Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,"
0,Itu muka kayak penuh tekanan banget
0,Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum
0,Selamat ulang tahun panjang umur sampai ketemu dajjal
1,BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH
1,Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri
1,Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?
0,Jangan beli baju lonte entar kena sial
1,"Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin"
0,Gini dong bersihan kaga kek tahun tahun sebelumnya dekil
0,Sana anjing ngewe ama lonte bangsat
1,Dilihat sekilas pun tampak jelas kalau cantikkan syifa
0,keknya dia ngeliat masa depan yang hancur deh
0,Muka lu sama anjing gwe..lebih ganteng anjing gwe rik
1,Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr
0,Gigi lo ada apanya? Jigong? Atau kondom nya nyangkut?
0,Buah nangka buah kemanggi gak ada akhlak lu babi
1,Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang
1,editan sama konsepnya nice banget lahhh
1,"Congrats kak, kamu memang pantes mendapatkannya"
1,Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.
1,Harus lebih maju berkelas rik!! Ga jamannya lg toxic dan ga beraturan.. build sistem!! You will be BIG
0,Lagu lu ga ada yang laku ya mel??
1,Raisa pake baju merah sumpahh cantik bgttt
1,"Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak"
0,"Cita cita ingin jadi pakboi , eh tapi malah jadi narkoboy nasib-nasib"
0,Ini anjing Kok mirip ya sama Erick
0,Mukanya kalau gak dibantu kamera dekil dan kumel
0,"Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun"
0,"Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot… rajin2 ngaca deh"
1,Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu
1,Sekilas yg abu mirip ariana grande haha
1,Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk
0,LO YANG DULU BUKANLAH YANG SEKARANG DULU KAYA ANJING SEKARANG KAYA BABI
0,Kesihan gue sama org otak dangkal kek gini
0,Lo sintingnya udah tingkat dewa
1,Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan
1,Bikin skandal karena kepengen tenar?
0,Anak gblk dikasi berlian malah milih kerikil
0,"Dekil tatoan, mampus karir Lo hancurr pantek"
1,Padahal cantikan jessica kemana mana
0,Modelny aja murahan apalagi barangnya
1,"Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu  ya aa"
1,"Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha"
0,Jelek aja tukang selingkuh lo buriq !!!!
0,Lidah banyak kuman and virus nih
0,udah buriq brengsek pula pantes aja dapet lonte
1,"Happy birthday Mel sehat dan Sukses yah, Aamiin"
0,BARU KALI INI LIHAT ANJING SAMA BABI BAIKAN…
1,i see beauty in everything mba gigi sehat selalu sama dede bayi nya
0,"NIH ORANG KALO LOMBA MIRIP BABI,BABINYA JUARA 2"
1,makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa
0,Biarkan @sk69official bangkrut aja. CEO nya gatau trimakasih haha
0,Wah ibarat lebih milih iblis daripada bidadari haha
1,"Gemesnya isyan kayak tango, berlapis lapis ciaaaa"
0,Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik
1,Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_
0,"ERICK GOBLOK,MALAH PACARAN AMA LONTE ANJ,SO BAT"
0,"Gua gabisa bedain mana anjing mana manusia, keliatannya sama"
0,Apasih kontol berantem aja lah ayo bngst @lutfiagizal
0,"Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia"
0,Lonte kurus pucet kek mayat hidup
1,Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(
0,Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari
0,ANJING gue jg ogah liat muke lu
0,Ciah dihujat 1 Indonesia jangan sampe bunuh diri ya komtoll kami blom puas nguat kauuu
1,Aura org pinter emg shining ya bun @hy_dindut
0,dikasih hati yg malaikat milih yg berhati iblis greget:(
1,"Dari sekian banyak foto yang diposting, ini yang paling cantik"
0,ANAK TOLOL INI MULAI AKTIF YA BUND
1,Kok mbak meldi sekarang tambah cantik ya rahasianya apa..
0,Kang ojek kali belang tangannya
0,paan melet melet mau jilat tai tabi?
1,kakak cantik bgt bismillah cerdasnya nular
0,BANTU BEDAINN WOYY MANA ANJING MANA BABI
0,Indahnya pemandangan banyak LonT lonT mau di jual
0,Nggak ada cantik-cantik nya hahaha
0,Ntar Mati dalam keadaan konyol
1,"Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula"
0,Babi lagi main ma anjing :)
0,Muka kek kontol mending di penjara
1,Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih
0,Jelek aja tukang selingkuh lo buriq !
0,Puny cewk baik di selingkuhin g ngotak
0,"udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh, ga nyangka idola gua sesampah itu."
1,"Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya"
1,Sumpah sih jahat banget. Bener2 kasian sama kak jessica
0,Gak ada bagus2nya suara dan polanya….
0,SESAMA ANJING FOTO DULU YA KAN
0,"Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk"
0,Potret ketika anjing poto dengan setan
0,oi babi gue bunuh lu kalau sampai kelihatan sumpah
1,Cantik banget kalau pakai baju kayak gitu
0,Lo itu kontol gak guna ajg anak dakjal
1,Ga Taulah aku juga suka banget sama gayanya isyan
0,Hadehh muka kaya tong sampah .
1,Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.
0,ANJING SINI LO BAKU HANTAM AYO
1,Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda
0,Ninggalin berlian demi tai babi dih
1,"hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam"
0,dikasi yang bening malah milih yang dakian
1,"Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan"
0,Kaku kek kanebo kering hahaha
0,Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok
1,Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi
1,Mama gigi cantik banget… look younger than her age.. love mama gigi
0,Itu muka apa tutup panci wkwkekek jelek nya ampe ke ubun ubun
0,bego anak orang udah ga perawan noh gara lu wkwkw
1,"Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)"
1,"Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett"
0,Murahh banget lo jijik gue …. Dikick EVOS mlah open BO
1,Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu
0,Ancur hidup lu kalau sama dia… Sumpah..
1,Setidaknya dia ngaku. bukan belagak pintar
0,Njr melet melet gw kirain hewan
1,Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati
0,Apa si hebatnya banci yg badannya penuh koreng kaya lo
1,Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..
1,Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..
0,jelek dapet selingkuhan jelek juga keren yaa imbang wkkw
1,siapapun tolong kasih tau aku ini masalah nya apaa gais
1,Kaya adek kakak.. kak gigi keliatan muda banget
0,"Babi g pantes nyentuh anjingnya bidadari, nanti kotor."
1,@vnagstn astaga si isyana keren banget ini
0,Bagusan pantat panci aing atuh anjir
1,Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin
0,Benci aja Ama orang jelek pake selingkuh segala
0,Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol
1,Dihujat habisan semua postingan lama ada komen baru wkwk
1,"Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang"
1,Maudy enak bet dah cantik iya pinter iya
1,"Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya"
0,"Mantan Anjing, eh kebalik anjing mantan"
1,"makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya"
0,WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA
0,Udah mau autis iya bg awokawkk
0,Frustasi..Sudah habis uangnya..Kasihannn
0,Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!
1,"Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada"
0,"Lu sama anjingnya, lebih baik anjingnya"
0,yaelah muka pasan aja bangga lu njing
0, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!
0,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.
0,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas
0,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??"
0,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja"
0,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya"
0,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa"
0,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika
0,ayu janda bego pny suami kpn nikah laginya?
0,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan"
0,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids"
0,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck"
0, <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????
0,Jijik liatnya suer deh minceeee
0,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!"
0,"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??"
0,Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..
0," <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun"
0," <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??"
0,"Cuman jual goyangan yak, suara macam taik..."
0,Kasian ih nyari uang sampe segitunya
0,anjir tontonan yg sangat tidak bermutu!
0,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????"
0,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada
0,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi"
0,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya"
0,S lonte ini bkn sensasi ngjak ribut org mulu sampah
0,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..
0,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu
0,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??
0,"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??"
0,bencong rombeng.menjijikan!!!gay jg.
0,"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???"
0,Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh
0,"cari sensasi supaya tenar, trus banya folowers nya. gak gt gt jg kalee... darar orang setres, ngomong aja masih belepotan gk jelas gt. kamfungan"
0,ngomong aja belepotan banyak gaya lu bencong
0,Orang kebanyakAN makan TAIK ya gini!OTAKnya udah penuh sama TAIK jdi gak bisa berfikir positif!dari cara dia berbicara aja Gak BERMORAL!dasar kaum2 LAKNAT BANCI ANJING kbanyakan BURIT SIH LO jdi Stres!MANUSIA ogah JUMPA sama LO anjing!cuma ANJING yg mau ketemu sama LO taik!
0,Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng iniÖ
0,Jijik banget lihat tingkah si upil ini. Mudah2an secepatnya tidur selamanya
0,"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA"
0,"Manusia laknat, matinya di apain ya"
0,Sakit di otak sama hatinya itu mah dia. Udah gak ada nurani dan urat malunya. Pajak saya loh yang ngegaji orang2 gila hormat ini
0,Anak babi bangsat pengen sumpel timah panas ke congor lu biar modar
0,Pengen sumpel timah panas ke congor si anak babi pesek buruk rupa
0,Hey anak bangsat babi pesek buruk rupa keriting.pengen penggal leher lu sampe putus??lumayan buat makanan buaya??
0,"RATU PELAKOR SEJAGAT RAYA, DIMANA2 LONTE YA GAK PUNYA MALU. YG NGERASA LONTE DISINI TOLONG PUNYA MALU DIKIT"
0,Wah ini mahhhh pertemuan buah ranum dan buah busuk ??....dah tau dong yg busuk yg manah ??????????....mentok2nya mah gitu aja kalo pelakor??
0,"Ah manda mah gatel, ga bisa liyat cowo dikit lgsg disosor.. Begok aje yg mau ama manda . kegatelan jadi cewe"
0,"Si amanda mukanya ke tante"" umur baru berapa tp muka boros banget .... dasar cabe . Jujur gua mah kgk suka ama ni haltis"
0,"Astagah, demen ama cewek dekil kumel. Ibaratnya dari nagita turun ke att. Nagita kaya emas att kaya barlen"
0,Alah laki laki jaman skrg sm aja. Sama sama bejat. Mau ustad kek bukan kek gila bgt sm perempuan yg bukan istrinya. Aku stju bgt sm yg di blg ustazah  <USERNAME> . Msuk surga bkan krna poligami. Msh bnyk hal yg kita buat supaya bs jd akhlak baik untuk bs masuk surga. Yaa smoga aja sih perempuan perempuan pelakor diluar sna mendapat azab yg gak diampuni. Yang hidupnya gk bakal selamat dunia akhirat
0,Gilaaaaa pelakor banyak bnget laki2 gatal juga banyak alasan untuk berpoligami woiii mikir pake otak haduh saya pikir dia org pintar tau agama mana baik mana buruk.... Allah menguji kesetiaan dan nafsunya eh malah kaya gtu... Menyakiti istri sama sja menutup pintu rejekimu... Anak istri kau korbankan! Sbg seorg imam keluarga dia telah gagal mmpertahankan rmh tangganya mencoreng nama baik nya sndiri... Smua org suka skrg benci sama dia.. M
0,"Biasalah kalo pelakor banyak yang lbh ancur mukanya dari istri sah.. barang bagus pasti cepat laku, karena pelakor jelek nggak laku makanya ngembat laki orang.. ya udah sama2 GATEL kok.. cocok wes..  <USERNAME>"
0,"lama2 ilfil deh sm ni ertong. caption/ig story nya ngomongin org mlu, org kan jd ambigu nilai si a si b si c. udah gt kaya paling di zholimi, salahinnya depan lawan dong jgn ngmg di status ah. kata nya dewasa ??"
0," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human"
0,"Heran deh yg ngatain si via baperan ya wajar lah dese baper karena udin muak sama orang yg munafik sok""an baik sama dese, lah apa kabar yg sering baperan sama laki orang ? Ga pada nyadar diri tuh pemujanya att, bukannya pada gotong royong buat nasehatin att ini malah menggila buat muja"" att dan mojokin viaa. Dese juga manusia keles ahh"
0," <USERNAME> itu yg komen via nyinyir mulu duh kyak dia gak pernah nyinyirin orang aja, mungkin lebih parah, kalo org sudah sok bener mah gitu, pdhal ini kan media sosial, hak dia dong instagram juga instagram dia, yg penting kan nyinyir gak pake ig s"
0," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human"
0, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !
0," <USERNAME> cara didik ortunya nagita bagus, makanya amat sangat heran dg balajaer, kan nagita yah yg dirugikan sm junjunganny.. Knp dia yg dibenci, bodoh bgt asli."
0," <USERNAME> pdhl km lebih kampungan loh,pake kerudung tapi mulutnya cuihh.."
0,Belajaer tuh apa ya? Hahahaha bela artis ampe sebegitunya... manusah2 begoh ????????
0," <USERNAME> iya banyak berarti mereka norak kampyuung, coba liat artis yang adem ayem liat isyana liat agnezmo liat mba liaaat..... jangan diliat aja coba di telaah deh, dikasih tau contoh artis yang better eh jawabannya begini ya cocok la"
